t,lat,lon
110.66,47.06445009223486,15.453146008122525
111.32,47.06444952097131,15.453142141712359
112.09,47.064448937410404,15.453138279262227
112.74,47.06444797507596,15.453134583782393
113.3,47.06444740855661,15.453130715868259
113.84,47.06444679474929,15.45312686353548
114.39,47.064446755251296,15.453122907642769
114.92,47.06444635470135,15.453118995268445
115.49,47.06444624602646,15.453115042168893
116.05,47.064445867947434,15.453111124978504
116.61,47.064445339364084,15.453107245507834
117.14,47.06444445497492,15.453103508290651
117.68,47.064443553275,15.453099779999222
118.22,47.064441988068225,15.453096559355084
118.76,47.064439699708785,15.45309446969209
119.41,47.064437010870634,15.453094735901614
120.04,47.06443446500972,15.453096033549876
120.64,47.06443258353299,15.453098866080456
121.26,47.06443138835296,15.453102412046304
121.9,47.06443197331939,15.453106274036884
122.57,47.06443369438493,15.45310931848709
123.28,47.06443518696116,15.453112612600581
124.1,47.06443281744768,15.453114497281948
124.66,47.06443124947658,15.453117715026217
125.23,47.06443027154965,15.453121401672473
125.78,47.064429868674615,15.453125313531036
126.32,47.06443020526294,15.453129238868778
126.86,47.064430276594685,15.453133193799081
127.41,47.06443066278108,15.453137109283407
127.96,47.064430913428154,15.453141048451277
128.5,47.06443096988381,15.453145003899554
129.02,47.06443047089932,15.453148891808176
129.58,47.064429200363115,15.453152380852016
130.13,47.06442746714378,15.453155410405829
130.72,47.064425558721574,15.453158203815903
131.34,47.06442367493475,15.453161033035034
131.93,47.064421666224675,15.45316367055268
132.53,47.06441639030849,15.453170834097762
133.12,47.06441067480385,15.453177229660668
133.72,47.06440473820644,15.453183175337701
134.34,47.064398530601544,15.453188491166603
134.96,47.06439146074177,15.453190384429915
135.57,47.064384281464434,15.453189910817644
136.17,47.064377100335285,15.453189502165726
136.76,47.06436999757391,15.453191108243034
137.34,47.064362971393486,15.453193324408884
137.91,47.06435601459175,15.453195970568817
138.49,47.06434925637103,15.453199558304629
139.08,47.06434209121178,15.453200371178216
139.69,47.06433512028586,15.453197806378538
140.29,47.064328449367636,15.453193882280269
140.91,47.064322988498894,15.453187023965373
141.53,47.064318984731,15.453178262790706
142.14,47.06431636890341,15.453168436349149
142.75,47.064314642536154,15.453158195126768
143.38,47.064313701954674,15.453147735724455
143.99,47.06431345788848,15.453137191656365
144.56,47.0643158201035,15.453127227730741
145.21,47.06431782572923,15.453117096761236
145.81,47.06431989160526,15.453106991917366
146.42,47.06432107446097,15.45309658565071
147.01,47.06432245591843,15.4530862322544
147.62,47.06432272322987,15.453075689399485
148.26,47.06432318038483,15.453065160611333
148.89,47.06432356428979,15.453054625519668
149.53,47.06432355373128,15.453044075375015
150.23,47.06432373582372,15.453033528606207
153.68,47.06433006811386,15.453028539791996
154.48,47.06433674337081,15.453024631627645
157.24,47.064332279599576,15.453016363396406
157.95,47.06432758574653,15.453008374485377
158.81,47.064323335447746,15.452999867271387
161.9,47.064329978339245,15.452995842010747
162.73,47.064337022458155,15.452993752173244
164.65,47.06434090087081,15.453002634046978
165.41,47.06434471649173,15.453011574343355
166.19,47.06434889733295,15.453020155416432
168.99,47.06434495946268,15.453028980728314
169.7,47.06434194156701,15.453038555554478
170.43,47.0643368889466,15.453046058002187
172.35,47.06433218169913,15.453038086093555
173.12,47.06432860105729,15.453028938718111
176.28,47.06433505476756,15.453024297336016
177.23,47.06434138793253,15.453019310914595
